2026-05-02 00:04:54 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [experiment_exploration_2:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:04:54 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [experiment_exploration_2:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-02 00:04:54 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [experiment_exploration_2:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-02 00:04:54 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [experiment_exploration_2:QueryProcessingActor-3] Recreated retriever with search_type=mmr
2026-05-02 00:04:54 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 00:04:56 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [experiment_exploration_2:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-02 00:06:20 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_exploration_2:QueryProcessingActor-0] Reusing existing inference engine (config hash: 8c9e8299)
2026-05-02 00:06:21 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:06:22 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_exploration_2:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:06:22 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_exploration_2:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:06:22 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_exploration_2:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-02 00:06:22 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_exploration_2:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-02 00:06:22 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_exploration_2:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-02 00:06:23 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-02 00:06:24 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_exploration_2:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-02 00:06:40 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [experiment_exploration_2:QueryProcessingActor-2] Reusing existing inference engine (config hash: 8c9e8299)
2026-05-02 00:06:40 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
