2026-05-06 22:46:02 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [512_32_temp1_2:QueryProcessingActor-3] Initializing new inference engine (config hash: 776091b8)
2026-05-06 22:46:02 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [512_32_temp1_2:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-06 22:46:02 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [512_32_temp1_2:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 22:46:02 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [512_32_temp1_2:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-06 22:46:02 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [512_32_temp1_2:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-06 22:46:02 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [512_32_temp1_2:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-06 22:46:02 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 22:46:05 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [512_32_temp1_2:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-06 22:52:34 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_32_temp1_2:QueryProcessingActor-0] Reusing existing inference engine (config hash: 776091b8)
2026-05-06 22:52:34 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_32_temp1_2:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 22:52:34 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_32_temp1_2:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 22:52:34 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_32_temp1_2:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 22:52:34 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_32_temp1_2:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 22:52:34 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_32_temp1_2:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 22:52:34 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 22:52:36 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_32_temp1_2:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 22:52:38 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [512_32_temp1_2:QueryProcessingActor-1] Reusing existing inference engine (config hash: 776091b8)
2026-05-06 22:52:38 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [512_32_temp1_2:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-06 22:52:38 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [512_32_temp1_2:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 22:52:38 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [512_32_temp1_2:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-06 22:52:38 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [512_32_temp1_2:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-06 22:52:38 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [512_32_temp1_2:QueryProcessingActor-1] Recreated retriever with search_type=similarity
