2026-05-06 14:26:25 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_32_temp0.7:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 14:26:25 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_32_temp0.7:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 14:26:25 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_32_temp0.7:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 14:26:25 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_32_temp0.7:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 14:26:25 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_32_temp0.7:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 14:26:25 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 14:26:27 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_32_temp0.7:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 14:26:27 | Controller | INFO | controller.py:1422 | [512_32_temp0.7:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-06 14:26:28 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [512_32_temp0.7:QueryProcessingActor-1] Initializing new inference engine (config hash: e2a5a31f)
2026-05-06 14:26:28 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [512_32_temp0.7:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-06 14:26:28 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [512_32_temp0.7:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 14:26:28 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [512_32_temp0.7:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-06 14:26:28 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [512_32_temp0.7:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-06 14:26:28 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [512_32_temp0.7:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-06 14:26:28 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 14:26:30 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [512_32_temp0.7:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-06 14:37:21 | Controller | INFO | controller.py:1299 | [512_32_temp0.7:Controller] Pipeline 1 completed shard 0 (1 batches, 653.25s)
