2026-05-07 03:42:13 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_hybrid_golden_pair_6:DocProcessingActor] DocProcessingActor initialized
2026-05-07 03:42:40 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_golden_pair_6:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 03:44:53 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_hybrid_golden_pair_6:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-07 03:44:53 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_hybrid_golden_pair_6:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-07 03:44:53 | ExperimentUtils | INFO | experiment_utils.py:154 | [experiment_hybrid_golden_pair_6:ExperimentUtils] Experiment experiment_hybrid_golden_pair_6 ended
2026-05-07 03:44:53 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_golden_pair_7:Experiment] The previously running experiment experiment_hybrid_golden_pair_6 was forcibly ended. Created a new experiment 'experiment_hybrid_golden_pair_7' with Experiment ID: 57 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_hybrid_golden_pair_7
2026-05-07 03:45:12 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_hybrid_golden_pair_7:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-07 03:45:12 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_hybrid_golden_pair_7:Experiment] Creating MLflow experiment: experiment_hybrid_golden_pair_7
2026-05-07 03:45:12 | Experiment | INFO | experiment.py:210 | [experiment_hybrid_golden_pair_7:Experiment] Initialized MetricLogger experiment: 51
2026-05-07 03:45:12 | Experiment | INFO | experiment.py:226 | [experiment_hybrid_golden_pair_7:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-07 03:45:14 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 03:45:20 | Experiment | WARNING | experiment.py:381 | [experiment_hybrid_golden_pair_7:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-07 03:45:20 | Experiment | INFO | experiment.py:383 | [experiment_hybrid_golden_pair_7:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-07 03:45:20 | Experiment | INFO | experiment.py:392 | [experiment_hybrid_golden_pair_7:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-07 03:45:21 | Controller | INFO | controller.py:895 | [experiment_hybrid_golden_pair_7:Controller] Dataset sharded into 4 shard(s). Shard sizes: [5, 5, 5, 5]
2026-05-07 03:45:21 | Controller | INFO | controller.py:900 | [experiment_hybrid_golden_pair_7:Controller] Received 1 pipeline configuration(s)
2026-05-07 03:45:21 | Controller | INFO | controller.py:309 | [experiment_hybrid_golden_pair_7:Controller] Found 1 unique RAG context(s)
2026-05-07 03:45:21 | Controller | INFO | controller.py:320 | [experiment_hybrid_golden_pair_7:Controller] Will build new context 88a8d8db...
2026-05-07 03:45:21 | Controller | INFO | controller.py:346 | [experiment_hybrid_golden_pair_7:Controller] Building 1 context(s) in parallel...
2026-05-07 03:45:21 | Controller | INFO | controller.py:373 | [experiment_hybrid_golden_pair_7:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-07 03:45:22 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-07 03:45:23 | Controller | INFO | controller.py:461 | [experiment_hybrid_golden_pair_7:Controller] Submitted 1 build task(s) in parallel
2026-05-07 03:45:46 | Controller | INFO | controller.py:482 | [experiment_hybrid_golden_pair_7:Controller] Built context 1 (88a8d8db...) successfully in 25.75s
2026-05-07 03:45:46 | Controller | INFO | controller.py:523 | [experiment_hybrid_golden_pair_7:Controller] Completed parallel context building for 1 context(s)
2026-05-07 03:45:46 | Controller | INFO | controller.py:920 | [experiment_hybrid_golden_pair_7:Controller] Created 4 query processing actors (generic pool)
2026-05-07 03:45:46 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_hybrid_golden_pair_7:Experiment] Created MLflow run: 4eb255b8739544e39b73ff871d74c3a5, 1
2026-05-07 03:45:46 | Controller | INFO | controller.py:931 | [experiment_hybrid_golden_pair_7:Controller] Initialized scheduler with 1 pipelines, 4 actors, 4 shards
2026-05-07 03:45:46 | Controller | INFO | controller.py:1118 | [experiment_hybrid_golden_pair_7:Controller] Created experiment-wide rate limiter actor for 1 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-07 03:45:46 | Controller | INFO | controller.py:1124 | [experiment_hybrid_golden_pair_7:Controller] Starting multi-pipeline inference scheduling...
2026-05-07 03:45:46 | Controller | INFO | controller.py:1422 | [experiment_hybrid_golden_pair_7:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
